Latitude,Longitude,Elevation
53.26965000,-9.08150000,41.0
53.26954000,-9.08223000,40.0
53.26942000,-9.08297000,40.0
53.26931000,-9.08371000,39.0
53.26920000,-9.08444000,39.0
53.26908000,-9.08518000,40.0
53.26897000,-9.08591000,40.0
53.26885000,-9.08665000,39.0
53.26874000,-9.08739000,38.0
53.26862000,-9.08812000,41.0
53.26851000,-9.08886000,44.0
